Location,Station_ID,Transect,Distance,Long,Lat,Dist_urban (m),Dist_roads (m),Dist_edge (m),Elev (m),
Almonte,ALM_T1_20,T1,20,-122.5234,37.8864,55.4134,49.5581,17.4786,1.6148,
Almonte,ALM_T1_40,T1,40,-122.5232,37.8865,74.7388,69.2232,36.1284,1.5180,
Almonte,ALM_T1_60,T1,60,-122.5230,37.8865,94.4351,89.0664,54.9185,1.5323,
Almonte,ALM_T1_80,T1,80,-122.5227,37.8866,114.1784,108.8989,73.3059,1.5936,
Almonte,ALM_T1_100,T1,100,-122.5225,37.8867,134.0080,128.7568,91.6436,1.5830,
Almonte,ALM_T2_20,T2,20,-122.5248,37.8901,30.4952,42.4100,15.2876,1.6846,
Almonte,ALM_T2_40,T2,40,-122.5246,37.8900,49.1293,58.7789,33.0150,1.6697,
Almonte,ALM_T2_60,T2,60,-122.5244,37.8900,67.6893,75.6739,50.6553,1.6611,
Almonte,ALM_T2_80,T2,80,-122.5242,37.8899,86.3372,93.0603,68.3828,1.6695,
Almonte,ALM_T2_100,T2,100,-122.5240,37.8899,104.8972,110.5411,84.5126,1.6858,
Almonte,ALM_T2_120,T2,120,-122.5238,37.8898,123.5452,128.2822,65.2990,1.6685,
Alto,ALT_T1_20,T1,20,-122.5260,37.8942,72.2823,287.7095,16.4847,1.7165,
Alto,ALT_T1_40,T1,40,-122.5262,37.8941,71.6428,296.4093,33.4771,1.7130,
Alto,ALT_T1_60,T1,60,-122.5263,37.8940,76.4551,277.8820,50.3822,1.6945,
Alto,ALT_T2_20,T2,20,-122.5258,37.8933,135.0268,236.9225,13.3882,1.5765,
Alto,ALT_T2_40,T2,40,-122.5260,37.8933,130.5239,227.7653,30.9373,1.6090,
Alto,ALT_T2_60,T2,60,-122.5262,37.8933,126.7885,218.9113,37.7727,1.6279,
Alto,ALT_T2_80,T2,80,-122.5264,37.8933,124.0599,211.4741,24.9496,1.6522,
Alviso Triangle,TRI_T1_20,T1,20,-121.9754,37.4539,1881.6016,2086.4926,16.8386,2.2279,
Alviso Triangle,TRI_T1_40,T1,40,-121.9755,37.4541,1900.9529,2106.1273,26.3607,2.2278,
Alviso Triangle,TRI_T1_60,T1,60,-121.9756,37.4543,1920.3185,2125.7697,35.8828,2.2225,
Alviso Triangle,TRI_T1_80,T1,80,-121.9757,37.4544,1939.5733,2145.2912,45.3097,2.2206,
Alviso Triangle,TRI_T1_100,T1,100,-121.9758,37.4546,1958.9661,2164.9484,54.8317,2.2443,
Alviso Triangle,TRI_T1_120,T1,120,-121.9759,37.4548,1978.3720,2184.6127,64.3538,2.2280,
Alviso Triangle,TRI_T1_140,T1,140,-121.9760,37.4549,1997.6653,2204.1551,73.7709,2.2098,
Alviso Triangle,TRI_T1_160,T1,160,-121.9761,37.4551,2017.0961,2223.8330,83.2169,2.2159,
Alviso Triangle,TRI_T1_180,T1,180,-121.9762,37.4553,2036.5388,2243.5174,92.6629,2.2304,
Alviso Triangle,TRI_T2_20,T2,20,-121.9820,37.4585,2522.3875,2745.8437,20.5369,2.1566,
Alviso Triangle,TRI_T2_40,T2,40,-121.9819,37.4586,2532.3368,2755.2391,40.5355,2.2359,
Alviso Triangle,TRI_T2_60,T2,60,-121.9817,37.4587,2542.3744,2764.7144,60.5925,2.2631,
Alviso Triangle,TRI_T2_80,T2,80,-121.9816,37.4589,2552.4555,2774.2317,80.5077,2.3227,
Alviso Triangle,TRI_T2_100,T2,100,-121.9815,37.4590,2562.7274,2783.9306,99.3614,2.2610,
Alviso Triangle,TRI_T2_120,T2,120,-121.9813,37.4592,2559.1208,2793.6676,80.5896,2.2578,
Alviso Triangle,TRI_T2_140,T2,140,-121.9812,37.4593,2545.2445,2803.5856,61.6100,2.2545,
American Canyon,AMC_T1_20,T1,20,-122.2715,38.1560,65.2795,110.5414,17.3288,1.7046,
American Canyon,AMC_T1_40,T1,40,-122.2717,38.1560,65.3085,107.9684,36.9813,1.7270,
American Canyon,AMC_T1_60,T1,60,-122.2720,38.1560,65.1974,108.9481,56.6138,1.7573,
American Canyon,AMC_T1_80,T1,80,-122.2722,38.1560,65.1900,108.0951,59.9761,1.7112,
American Canyon,AMC_T1_100,T1,100,-122.2724,38.1560,65.0716,104.3397,60.3945,1.7072,
American Canyon,AMC_T1_120,T1,120,-122.2727,38.1560,66.1239,102.7683,61.2664,1.7480,
American Canyon,AMC_T1_140,T1,140,-122.2729,38.1560,68.1900,103.0479,62.9404,1.6889,
American Canyon,AMC_T2_20,T2,20,-122.2686,38.1589,307.7415,368.4837,50.3649,1.7313,
American Canyon,AMC_T2_40,T2,40,-122.2686,38.1591,294.4824,365.9826,62.2059,1.7929,
American Canyon,AMC_T2_60,T2,60,-122.2686,38.1593,282.0034,349.5165,76.3716,1.7321,
American Canyon,AMC_T2_80,T2,80,-122.2687,38.1594,270.4435,333.4944,92.5997,1.7409,
American Canyon,AMC_T2_100,T2,100,-122.2687,38.1596,259.9759,317.9678,96.4902,1.7506,
American Canyon,AMC_T2_120,T2,120,-122.2687,38.1598,250.5323,302.8211,76.8031,1.6586,
American Canyon,AMC_T2_140,T2,140,-122.2687,38.1600,242.5152,288.4183,57.4871,1.7228,
American Canyon,AMC_T2_160,T2,160,-122.2687,38.1601,235.8397,274.6539,38.2494,1.7444,
Arrowhead,ARO_T1_20,T1,20,-122.2112,37.7416,284.1080,381.5808,1.5059,2.2248,
Arrowhead,ARO_T1_40,T1,40,-122.2117,37.7414,255.9251,390.4314,2.6540,2.2124,
Arrowhead,ARO_T1_60,T1,60,-122.2118,37.7413,243.1933,377.6654,2.1062,1.8839,
Arrowhead,ARO_T1_80,T1,80,-122.2114,37.7415,287.3058,396.7219,0.5878,,
Arrowhead,ARO_T2_20,T2,20,-122.2108,37.7421,232.2606,345.6175,21.7807,1.6915,
Arrowhead,ARO_T2_40,T2,40,-122.2106,37.7421,212.2337,327.0523,14.8669,1.6511,
Arrowhead,ARO_T2_60,T2,60,-122.2104,37.7422,192.2069,308.6699,10.3519,1.6955,
Bay Point,BPT_T1_20,T1,20,-121.9660,38.0420,293.9672,319.4874,5.6189,,
Bay Point,BPT_T1_40,T1,40,-121.9658,38.0419,286.6884,323.2719,20.3422,,
Bay Point,BPT_T1_60,T1,60,-121.9656,38.0419,271.3497,320.9717,35.6641,,
Bay Point,BPT_T1_80,T1,80,-121.9655,38.0418,260.2560,320.5347,46.7496,,
Bay Point,BPT_T1_100,T1,100,-121.9654,38.0418,245.3228,321.2967,61.6761,,
Bay Point,BPT_T1_120,T1,120,-121.9652,38.0417,231.1333,319.6790,75.5469,,
Bay Point,BPT_T1_140,T1,140,-121.9650,38.0417,215.2303,320.6891,91.0869,,
Bay Point,BPT_T1_160,T1,160,-121.9649,38.0417,200.0052,325.2143,106.4002,,
Bay Point,BPT_T2_20,T2,20,-121.9683,38.0444,491.2676,499.7362,22.8271,,
Bay Point,BPT_T2_40,T2,40,-121.9682,38.0446,511.8635,520.3263,43.0606,,
Bay Point,BPT_T2_60,T2,60,-121.9682,38.0448,512.9091,539.8703,62.3177,,
Bay Point,BPT_T2_80,T2,80,-121.9681,38.0450,512.5793,560.1665,82.2030,,
Bay Point,BPT_T2_100,T2,100,-121.9681,38.0451,511.9327,579.7106,101.5837,,
Bay Point,BPT_T2_120,T2,120,-121.9680,38.0453,512.3609,600.3006,122.0625,,
Bay Point,BPT_T2_140,T2,140,-121.9680,38.0455,514.0813,619.5508,141.2460,,
Bay Point,BPT_T2_160,T2,160,-121.9679,38.0457,515.7060,639.0948,160.7725,,
Bay Point,BPT_T2_180,T2,180,-121.9678,38.0458,518.5122,659.6765,181.3597,,
Bay Point,BPT_T2_200,T2,200,-121.9678,38.0460,522.4271,678.8747,200.6284,,
Bayfront Park,BFT_T1_20,T1,20,-122.5263,37.8987,40.2349,120.9530,13.0093,1.6982,
Bayfront Park,BFT_T1_40,T1,40,-122.5262,37.8985,46.3224,127.7050,18.9272,1.6736,
Bayfront Park,BFT_T1_60,T1,60,-122.5261,37.8984,53.7325,129.5356,26.2485,1.7927,
Bayfront Park,BFT_T1_80,T1,80,-122.5260,37.8982,59.8201,139.7138,31.9916,1.7772,
Bayfront Park,BFT_T1_100,T1,100,-122.5259,37.8981,67.2303,142.3665,39.2188,1.7157,
Bayfront Park,BFT_T1_120,T1,120,-122.5258,37.8979,73.3180,137.5610,30.0670,1.6515,
Bayfront Park,BFT_T2_20,T2,20,-122.5266,37.9000,31.2310,58.1847,5.3752,1.9642,
Bayfront Park,BFT_T2_40,T2,40,-122.5265,37.9000,39.9635,51.5619,14.0906,0.8220,
Bayfront Park,BFT_T2_60,T2,60,-122.5264,37.9000,48.6960,44.9391,16.1589,1.6272,
Bayfront Park,BFT_T2_80,T2,80,-122.5264,37.8994,37.3390,93.2482,10.5975,1.8466,
Belden's Landing,BEL_T1_20,T1,20,-121.9771,38.1888,3671.1325,17.2038,9.9784,2.0010,
Belden's Landing,BEL_T1_40,T1,40,-121.9773,38.1888,3687.6685,36.2056,28.9476,1.9890,
Belden's Landing,BEL_T1_60,T1,60,-121.9775,38.1887,3704.8553,55.4217,48.0832,1.9530,
Belden's Landing,BEL_T1_80,T1,80,-121.9777,38.1887,3722.5469,74.7954,54.6998,1.9360,
Belden's Landing,BEL_T1_100,T1,100,-121.9780,38.1887,3742.1093,96.2187,53.2252,2.0650,
Belden's Landing,BEL_T1_120,T1,120,-121.9782,38.1886,3762.1057,114.3331,53.4438,2.0100,
Belden's Landing,BEL_T1_140,T1,140,-121.9785,38.1886,3783.2346,124.6335,50.7762,1.9820,
Belden's Landing,BEL_T1_160,T1,160,-121.9788,38.1885,3802.9398,134.8585,51.8736,1.9550,
Belden's Landing,BEL_T1_180,T1,180,-121.9790,38.1885,3821.9751,144.7780,49.7198,2.0190,
Belden's Landing,BEL_T1_200,T1,200,-121.9792,38.1884,3841.2413,154.5071,48.8428,1.9820,
Belden's Landing,BEL_T2_20,T2,20,-121.9783,38.1894,3712.2380,33.8044,21.4833,1.9570,
Belden's Landing,BEL_T2_40,T2,40,-121.9785,38.1894,3728.7693,39.5338,12.3412,1.9330,
Belden's Landing,BEL_T2_60,T2,60,-121.9787,38.1894,3743.5019,45.0325,19.5722,1.9310,
Belden's Landing,BEL_T2_80,T2,80,-121.9789,38.1894,3758.1418,49.9746,28.9532,2.0550,
Belden's Landing,BEL_T2_100,T2,100,-121.9791,38.1893,3772.7814,55.5146,29.8905,1.9560,
Belden's Landing,BEL_T2_120,T2,120,-121.9793,38.1893,3787.2107,61.4157,14.1270,1.9250,
Belden's Landing,BEL_T2_140,T2,140,-121.9795,38.1893,3802.7172,67.6258,2.1315,,
Belden's Landing,BEL_T2_160,T2,160,-121.9797,38.1893,3819.7101,74.6077,5.0502,,
Belden's Landing,BEL_T2_180,T2,180,-121.9799,38.1893,3835.2024,80.5961,2.4058,1.9640,
Belden's Landing,BEL_T2_200,T2,200,-121.9801,38.1893,3851.5038,86.7382,18.0139,1.9350,
Belmont Slough,BLM_T1_20,T1,20,-122.2535,37.5412,177.2705,230.1583,17.2766,2.0001,
Belmont Slough,BLM_T1_40,T1,40,-122.2533,37.5412,195.8821,242.5504,17.7087,2.0403,
Belmont Slough,BLM_T1_60,T1,60,-122.2530,37.5412,214.9498,253.6758,24.3612,2.0447,
Belmont Slough,BLM_T1_80,T1,80,-122.2528,37.5412,233.8483,264.0884,34.2076,2.0456,
Belmont Slough,BLM_T1_100,T1,100,-122.2526,37.5412,236.6022,276.6595,45.0001,2.0484,
Belmont Slough,BLM_T1_120,T1,120,-122.2523,37.5412,219.2424,288.1588,56.3826,1.8748,
Belmont Slough,BLM_T1_140,T1,140,-122.2521,37.5412,200.5777,271.3182,72.1430,2.0594,
Belmont Slough,BLM_T1_160,T1,160,-122.2519,37.5411,181.8589,250.4833,86.4486,1.9842,
Belmont Slough,BLM_T1_180,T1,180,-122.2516,37.5411,162.2230,229.9456,65.8414,1.9328,
Belmont Slough,BLM_T1_200,T1,200,-122.2514,37.5411,144.7578,209.5591,45.6935,1.9802,
Belmont Slough,BLM_T2_20,T2,20,-122.2517,37.5414,187.4051,244.5458,71.2397,1.9615,
Belmont Slough,BLM_T2_40,T2,40,-122.2518,37.5416,204.7577,258.2971,66.4861,1.9231,
Belmont Slough,BLM_T2_60,T2,60,-122.2519,37.5418,222.7573,273.7292,51.7908,1.9074,
Belmont Slough,BLM_T2_80,T2,80,-122.2520,37.5420,240.2893,289.3161,38.5616,1.9739,
Belmont Slough,BLM_T2_100,T2,100,-122.2521,37.5421,257.8034,305.0835,31.2057,1.9385,
Belmont Slough,BLM_T2_120,T2,120,-122.2522,37.5423,266.8623,321.3930,27.3333,1.9194,
Belmont Slough,BLM_T2_140,T2,140,-122.2523,37.5425,263.0441,336.9179,29.0656,1.9998,
Belmont Slough,BLM_T2_160,T2,160,-122.2523,37.5427,259.3692,354.2724,31.0502,1.9631,
Belmont Slough,BLM_T2_180,T2,180,-122.2524,37.5428,255.8258,372.0597,33.5152,1.6450,
Belmont Slough,BLM_T2_200,T2,200,-122.2526,37.5430,245.6818,352.5561,32.4904,1.7505,
Benicia Industrial,BIU_T1_20,T1,20,-122.1127,38.0804,20.1819,33.4304,11.9341,1.7180,
Benicia Industrial,BIU_T1_40,T1,40,-122.1125,38.0803,40.0904,53.3284,31.7180,1.5110,
Benicia Industrial,BIU_T1_60,T1,60,-122.1123,38.0802,60.0796,73.3050,51.5740,1.3780,
Benicia Industrial,BIU_T1_80,T1,80,-122.1121,38.0802,73.4004,87.1718,67.6146,1.5680,
Benicia Industrial,BIU_T1_100,T1,100,-122.1120,38.0804,67.7393,81.9878,63.5082,1.7870,
Benicia Industrial,BIU_T1_120,T1,120,-122.1112,38.0806,94.5960,110.2207,90.7198,2.5710,
Benicia Industrial,BIU_T1_140,T1,140,-122.1102,38.0808,39.8577,152.2593,19.6033,1.8180,
Benicia Industrial,BIU_T2_20,T2,20,-122.1134,38.0775,77.3739,188.6417,45.6069,1.6330,
Benicia Industrial,BIU_T2_40,T2,40,-122.1133,38.0776,86.1658,186.5525,50.3800,1.5220,
Benicia Industrial,BIU_T2_60,T2,60,-122.1132,38.0778,98.2894,184.5116,55.1531,1.4370,
Benicia Industrial,BIU_T2_80,T2,80,-122.1132,38.0780,112.7520,183.2804,59.8551,1.4610,
Benicia Industrial,BIU_T2_100,T2,100,-122.1131,38.0781,128.6370,181.9744,64.6283,1.6780,
Benicia Industrial,BIU_T2_120,T2,120,-122.1130,38.0783,145.6040,177.7424,69.3303,1.2970,
Bothin Marsh,BOM_T1_20,T1,20,-122.5237,37.8835,92.6285,87.8494,56.4027,1.4945,
Bothin Marsh,BOM_T1_40,T1,40,-122.5236,37.8834,106.4560,101.3391,61.3376,1.4173,
Bothin Marsh,BOM_T1_60,T1,60,-122.5233,37.8834,124.3579,119.1699,73.6834,1.2998,
Bothin Marsh,BOM_T1_80,T1,80,-122.5234,37.8841,95.6569,91.0306,66.4194,1.5322,
Bothin Marsh,BOM_T1_100,T1,100,-122.5232,37.8840,114.7988,109.6770,85.0579,1.3476,
Bothin Marsh,BOM_T2_20,T2,20,-122.5240,37.8836,71.0407,66.8516,33.7230,1.5726,
Bothin Marsh,BOM_T2_40,T2,40,-122.5238,37.8838,84.7297,80.7715,34.4888,1.4944,
Bothin Marsh,BOM_T2_60,T2,60,-122.5238,37.8840,80.9612,78.6823,35.4629,1.4962,
Bothin Marsh,BOM_T2_80,T2,80,-122.5236,37.8841,78.5128,74.6310,49.0212,1.5533,
Bothin Marsh,BOM_T2_100,T2,100,-122.5234,37.8843,78.6168,73.4459,48.7824,1.5089,
Bothin Marsh,BOM_T2_120,T2,120,-122.5233,37.8844,74.6959,68.9753,44.9648,1.3232,
Bothin Marsh,BOM_T2_140,T2,140,-122.5233,37.8846,62.0460,53.8376,33.9401,1.3898,
Bothin Marsh,BOM_T2_160,T2,160,-122.5232,37.8848,66.9022,56.6592,35.7435,1.4906,
Bothin Marsh,BOM_T2_180,T2,180,-122.5232,37.8850,57.6942,47.9669,25.6021,1.4196,
Bothin Marsh,BOM_T2_200,T2,200,-122.5232,37.8851,45.9341,38.1849,18.1011,1.3492,
Bothin South,BOS_T1_20,T1,20,-122.5226,37.8819,60.7505,180.8184,8.9873,1.6890,
Bothin South,BOS_T1_40,T1,40,-122.5225,37.8820,76.4116,194.1310,23.4856,1.7066,
Bothin South,BOS_T1_60,T1,60,-122.5224,37.8822,88.3000,203.7852,38.6753,1.7310,
Bothin South,BOS_T1_80,T1,80,-122.5224,37.8823,105.5270,215.0563,45.0406,1.9424,
Bothin South,BOS_T1_100,T1,100,-122.5222,37.8824,123.2700,215.9099,58.5977,1.8941,
Bothin South,BOS_T1_120,T1,120,-122.5220,37.8825,138.5098,209.1870,76.7850,1.9889,
Bothin South,BOS_T2_20,T2,20,-122.5246,37.8835,14.2889,9.5612,3.1562,2.9595,
Bothin South,BOS_T2_40,T2,40,-122.5245,37.8836,23.7002,19.3625,12.9144,1.8414,
Bothin South,BOS_T2_60,T2,60,-122.5242,37.8838,49.0107,45.0538,6.6551,1.7009,
Bothin South,BOS_T2_80,T2,80,-122.5241,37.8840,59.6928,57.5181,9.0266,1.6088,
Browns Island,BRI_T1_20,T1,20,-121.8692,38.0340,263.4301,658.0469,41.2967,,
Browns Island,BRI_T1_40,T1,40,-121.8690,38.0339,265.3356,669.7476,48.8357,,
Browns Island,BRI_T1_60,T1,60,-121.8688,38.0338,263.7541,679.2508,46.2767,,
Browns Island,BRI_T1_80,T1,80,-121.8686,38.0337,265.7502,691.9007,45.9851,,
Browns Island,BRI_T1_100,T1,100,-121.8685,38.0336,262.5927,702.8216,44.1609,,
Browns Island,BRI_T1_120,T1,120,-121.8683,38.0335,255.7866,713.9989,41.2020,,
Browns Island,BRI_T1_140,T1,140,-121.8680,38.0335,253.7773,728.9882,39.0985,,
Browns Island,BRI_T1_160,T1,160,-121.8678,38.0334,250.9270,745.3853,41.6301,,
Browns Island,BRI_T1_180,T1,180,-121.8676,38.0334,247.0307,762.1384,40.5236,,
Browns Island,BRI_T1_200,T1,200,-121.8674,38.0333,242.7965,778.8740,36.9067,,
Burdell Unit,BUR_T1_20,T1,20,-122.5576,38.1494,721.4656,710.3592,46.8132,0.4200,
Burdell Unit,BUR_T1_40,T1,40,-122.5577,38.1492,702.9576,699.6244,59.4731,0.4200,
Burdell Unit,BUR_T1_60,T1,60,-122.5578,38.1490,684.0875,687.5046,73.2188,0.4200,
Burdell Unit,BUR_T1_80,T1,80,-122.5579,38.1488,664.1649,676.1126,83.9706,0.4200,
Burdell Unit,BUR_T1_100,T1,100,-122.5579,38.1487,644.2984,665.1439,72.8689,0.4200,
Burdell Unit,BUR_T1_120,T1,120,-122.5580,38.1485,625.6252,654.2092,65.0390,0.4710,
Burdell Unit,BUR_T1_140,T1,140,-122.5580,38.1483,605.1425,644.6760,60.7161,0.5104,
Burdell Unit,BUR_T1_160,T1,160,-122.5581,38.1481,585.1180,631.2776,59.3766,0.4200,
Burdell Unit,BUR_T1_180,T1,180,-122.5582,38.1479,565.3977,619.9972,63.4555,0.4200,
Burdell Unit,BUR_T1_200,T1,200,-122.5583,38.1478,546.3546,607.7315,71.9923,0.4200,
Burdell Unit,BUR_T2_20,T2,20,-122.5586,38.1472,483.8145,566.0434,35.6493,0.5687,
Burdell Unit,BUR_T2_40,T2,40,-122.5584,38.1471,470.2059,579.3328,44.4399,0.5074,
Burdell Unit,BUR_T2_60,T2,60,-122.5582,38.1469,455.8571,593.3501,53.5735,0.5309,
Burdell Unit,BUR_T2_80,T2,80,-122.5580,38.1468,440.5713,605.1577,60.2759,0.4200,
Burdell Unit,BUR_T2_100,T2,100,-122.5578,38.1467,426.5117,618.4580,68.5057,0.4200,
Burdell Unit,BUR_T2_120,T2,120,-122.5576,38.1466,413.5549,632.1221,76.8854,0.4200,
Burdell Unit,BUR_T2_140,T2,140,-122.5574,38.1465,399.9492,621.9317,83.9094,0.4200,
Burdell Unit,BUR_T2_160,T2,160,-122.5572,38.1464,389.1136,613.1142,91.4752,0.4200,
Burdell Unit,BUR_T2_180,T2,180,-122.5571,38.1462,376.9986,602.9164,98.5748,0.4200,
Burdell Unit,BUR_T2_200,T2,200,-122.5569,38.1461,366.2292,593.8053,106.0509,0.4200,
Byxbee (Harbor),BYX_T1_20,T1,20,-122.1042,37.4527,351.9242,526.4189,0.6413,,
Byxbee (Harbor),BYX_T1_40,T1,40,-122.1045,37.4527,322.9523,496.8043,28.2467,2.1497,
Byxbee (Harbor),BYX_T1_60,T1,60,-122.1048,37.4526,301.5286,479.2568,44.9240,1.9615,
Byxbee (Harbor),BYX_T1_80,T1,80,-122.1048,37.4526,293.5682,475.9736,47.5385,2.1815,
Byxbee (Harbor),BYX_T2_20,T2,20,-122.1031,37.4546,469.1722,483.2473,21.3121,2.1956,
Byxbee (Harbor),BYX_T2_40,T2,40,-122.1033,37.4549,435.9858,449.5428,55.7747,2.0386,
Byxbee (Harbor),BYX_T2_60,T2,60,-122.1034,37.4550,422.7384,436.3373,44.4437,2.1392,
Byxbee (Harbor),BYX_T2_80,T2,80,-122.1037,37.4550,403.8036,418.1980,37.7257,2.0672,
Byxbee (Harbor),BYX_T2_100,T2,100,-122.1038,37.4551,385.2823,399.1342,17.3571,2.2268,
China Camp,CHI_T1_20,T1,20,-122.4676,38.0036,617.8704,46.2170,1.0067,,
China Camp,CHI_T1_40,T1,40,-122.4676,38.0034,598.0219,42.3882,12.1367,1.8390,
China Camp,CHI_T1_60,T1,60,-122.4676,38.0032,575.0127,21.0900,15.2401,1.9345,
China Camp,CHI_T1_80,T1,80,-122.4679,38.0032,579.1356,18.0796,8.7693,1.8261,
China Camp,CHI_T1_100,T1,100,-122.4681,38.0032,589.4109,17.7892,7.3118,1.7806,
China Camp,CHI_T1_120,T1,120,-122.4683,38.0033,600.3931,17.3645,1.9403,1.5979,
China Camp,CHI_T1_140,T1,140,-122.4686,38.0033,595.5499,16.0334,3.2457,1.2661,
China Camp,CHI_T1_160,T1,160,-122.4688,38.0033,590.9401,16.9193,3.9488,1.6286,
China Camp,CHI_T1_180,T1,180,-122.4690,38.0034,588.8036,19.0483,3.4656,1.7452,
China Camp,CHI_T1_200,T1,200,-122.4692,38.0034,591.0768,22.2325,1.5136,,
China Camp,CHI_T2_20,T2,20,-122.4695,38.0035,594.5944,23.8751,1.9165,1.7748,
China Camp,CHI_T2_40,T2,40,-122.4697,38.0036,602.4521,29.1832,0.8482,,
China Camp,CHI_T2_60,T2,60,-122.4699,38.0037,611.0433,36.6007,1.1959,1.5576,
China Camp,CHI_T2_80,T2,80,-122.4701,38.0038,617.3667,33.4249,6.2391,1.7379,
China Camp,CHI_T2_100,T2,100,-122.4702,38.0040,631.9423,33.8768,0.1322,1.5986,
China Camp,CHI_T2_120,T2,120,-122.4704,38.0041,645.4152,28.2801,0.8070,1.6357,
Corte Madera Triangle,CMT_T1_20,T1,20,-122.4961,37.9215,39.6698,32.0785,13.7485,1.6932,
Corte Madera Triangle,CMT_T1_40,T1,40,-122.4960,37.9216,56.1947,47.6023,26.6473,1.7158,
Corte Madera Triangle,CMT_T1_60,T1,60,-122.4959,37.9218,72.7197,63.5443,37.8221,1.7403,
Corte Madera Triangle,CMT_T1_80,T1,80,-122.4958,37.9220,89.1341,79.9226,41.9459,1.7236,
Corte Madera Triangle,CMT_T1_100,T1,100,-122.4957,37.9221,105.6683,96.7975,22.7013,1.6470,
Corte Madera Triangle,CMT_T1_120,T1,120,-122.4958,37.9223,130.3012,121.1531,8.8328,1.6932,
Corte Madera Triangle,CMT_T2_20,T2,20,-122.4971,37.9216,40.2598,46.4452,16.7614,1.6938,
Corte Madera Triangle,CMT_T2_40,T2,40,-122.4971,37.9218,49.7829,65.8070,34.6278,1.7395,
Corte Madera Triangle,CMT_T2_60,T2,60,-122.4970,37.9220,59.0239,85.5500,52.9483,1.7120,
Corte Madera Triangle,CMT_T2_80,T2,80,-122.4970,37.9222,63.5834,105.3696,63.2773,1.7012,
Corte Madera Triangle,CMT_T2_100,T2,100,-122.4969,37.9223,68.1429,115.6197,67.4316,1.7188,
Corte Madera Triangle,CMT_T2_120,T2,120,-122.4969,37.9225,72.7903,120.0419,71.6738,1.6980,
Corte Madera Triangle,CMT_T2_140,T2,140,-122.4968,37.9227,77.3498,124.3861,63.1582,1.6360,
Corte Madera Triangle,CMT_T2_160,T2,160,-122.4968,37.9229,82.4404,128.8478,43.5277,1.6972,
Corte Madera Triangle,CMT_T2_180,T2,180,-122.4967,37.9230,86.3959,133.2216,24.5949,1.6062,
Creekside,LCS_T1_20,T1,20,-122.5389,37.9492,17.1797,167.5622,17.1797,1.6148,
Creekside,LCS_T1_40,T1,40,-122.5392,37.9492,37.2075,175.7384,37.2075,1.5275,
Creekside,LCS_T1_60,T1,60,-122.5394,37.9492,57.1475,159.3727,57.1475,1.6889,
Creekside,LCS_T1_80,T1,80,-122.5396,37.9492,48.6828,143.1614,48.6828,1.7083,
Creekside,LCS_T1_100,T1,100,-122.5398,37.9492,29.6240,127.0855,29.6240,1.5713,
Creekside,LCS_T1_120,T1,120,-122.5401,37.9492,13.0856,110.8742,13.0856,1.6478,
Creekside,LCS_T2_20,T2,20,-122.5388,37.9486,26.7972,127.8378,26.7972,1.5919,
Creekside,LCS_T2_40,T2,40,-122.5390,37.9485,45.2318,132.9494,45.2318,1.6619,
Creekside,LCS_T2_60,T2,60,-122.5391,37.9484,62.8924,139.2813,62.8924,1.5358,
Creekside,LCS_T2_80,T2,80,-122.5393,37.9482,43.5324,146.7529,43.5324,1.5569,
Cullin Ranch,CUL_T1_20,T1,20,-122.3074,38.1302,2245.6756,64.1732,11.1874,1.5940,
Cullin Ranch,CUL_T1_40,T1,40,-122.3073,38.1300,2225.5015,76.5964,9.2077,1.5685,
Cullin Ranch,CUL_T1_60,T1,60,-122.3072,38.1299,2203.3620,93.9432,6.0354,1.5730,
Cullin Ranch,CUL_T1_80,T1,80,-122.3071,38.1297,2181.0726,108.7695,4.8689,1.6507,
Cullin Ranch,CUL_T1_100,T1,100,-122.3070,38.1295,2159.6185,123.5534,5.1239,1.6126,
Cullin Ranch,CUL_T1_120,T1,120,-122.3069,38.1294,2139.4645,138.3451,5.3066,1.6310,
Cullin Ranch,CUL_T1_140,T1,140,-122.3067,38.1292,2118.4798,155.4401,3.2190,1.7548,
Cullin Ranch,CUL_T1_160,T1,160,-122.3066,38.1290,2097.4788,173.6898,3.6304,2.0158,
Cullin Ranch,CUL_T1_180,T1,180,-122.3064,38.1289,2076.0620,193.6105,1.9224,1.7438,
Cullin Ranch,CUL_T1_200,T1,200,-122.3063,38.1288,2057.4942,211.5776,1.3794,1.7174,
