Location,Survey,Effort,Year,Surveyor
Almonte,1,11,2021,CA
Almonte,2,11,2021,CA
Almonte,3,11,2021,CA
Almonte,4,11,2021,CA
Almonte,5,11,2021,CA
Almonte,6,11,2021,CA
Almonte,7,11,2021,CA
Almonte,8,11,2021,CA
Almonte,9,11,2021,CA
Almonte,10,11,2021,CA
Almonte,11,11,2021,CA
Alto,1,7,2021,CA
Alto,2,7,2021,CA
Alto,3,7,2021,CA
Alto,4,7,2021,CA
Alto,5,7,2021,CA
Alto,6,7,2021,CA
Alto,7,7,2021,CA
Alviso Triangle,1,16,2021,CA
Alviso Triangle,2,16,2021,CA
Alviso Triangle,3,16,2021,CA
Alviso Triangle,4,16,2021,CA
Alviso Triangle,5,16,2021,CA
Alviso Triangle,6,16,2021,CA
Alviso Triangle,7,16,2021,CA
Alviso Triangle,8,16,2021,CA
Alviso Triangle,9,16,2021,CA
Alviso Triangle,10,16,2021,CA
Alviso Triangle,11,16,2021,CA
Alviso Triangle,12,16,2021,CA
Alviso Triangle,13,16,2021,CA
Alviso Triangle,14,16,2021,CA
Alviso Triangle,15,16,2021,CA
Alviso Triangle,16,16,2021,CA
American Canyon,1,15,2021,CA
American Canyon,2,15,2021,CA
American Canyon,3,15,2021,CA
American Canyon,4,15,2021,CA
American Canyon,5,15,2021,CA
American Canyon,6,15,2021,CA
American Canyon,7,15,2021,CA
American Canyon,8,15,2021,CA
American Canyon,9,15,2021,CA
American Canyon,10,15,2021,CA
American Canyon,11,15,2021,CA
American Canyon,12,15,2021,CA
American Canyon,13,15,2021,CA
American Canyon,14,15,2021,CA
American Canyon,15,15,2021,CA
Arrowhead,1,7,2021,CA
Arrowhead,2,7,2021,CA
Arrowhead,3,7,2021,CA
Arrowhead,4,7,2021,CA
Arrowhead,5,7,2021,CA
Arrowhead,6,7,2021,CA
Arrowhead,7,7,2021,CA
Bay Point,1,18,2021,CA
Bay Point,2,18,2021,CA
Bay Point,3,18,2021,CA
Bay Point,4,18,2021,CA
Bay Point,5,18,2021,CA
