"","Estimate","SE","Z","p_value","Lower_CI","Upper_CI"
"p([Mcal] (Intercept))",-1.74091,0.141340922768808,-13.66033,0,-1.97339671820005,-1.50842645929417
"p([Mcal] Effort)",-0.16935,0.16700307708132,-1.12464,0.26074,-0.444045044698272,0.105346189400258
"p([Mcal] Year1)",-1.7424,0.380747128935168,-5.07533,0,-2.36867465058592,-1.11612805862518
"p([Mmus] (Intercept))",-0.46413,0.0654445165223131,-7.86544,0,-0.571781253792409,-0.356487953060785
"p([Mmus] Effort)",-0.61434,0.067918464508789,-10.03165,0,-0.726054201829557,-0.502622336461044
"p([Mmus] Year1)",0.30436,0.118906599774817,2.83878,0.00453,0.108774003635011,0.499941907451162
"p([Rmeg] (Intercept))",-0.59011,0.0776873726751699,-8.42434,0,-0.717895254030877,-0.462326540604709
"p([Rmeg] Effort)",0.04107,0.0830248242565782,0.54862,0.58327,-0.0954933250044732,0.177634041606409
"p([Rmeg] Year1)",-0.80855,0.171281601737934,-5.2354,0,-1.09028586511547,-0.526819537418075
"p([Rrav] (Intercept))",-0.0216,0.0731198323159214,-0.32769,0.74315,-0.141875674802977,0.0986671679708765
"p([Rrav] Effort)",-0.34166,0.110047191726916,-3.44329,0.00057,-0.522676042678149,-0.160652997782467
"p([Rrav] Year1)",-0.65629,0.179657112429056,-4.05138,5e-05,-0.951798578615697,-0.360779272642577
"psi([Mcal] (Intercept))",-1.3281,0.533422587963693,-2.7613,0.00576,-2.2055057892235,-0.450701632203659
"psi([Mmus:Mcal] (Intercept))",-0.0413,0.468741600062953,-0.09772,0.92215,-0.812313891152824,0.729708750780344
"psi([Mmus] (Intercept))",-0.00234,0.303911516946735,-0.00854,0.99318,-0.502230798180057,0.497549123664264
"psi([Rmeg:Mcal] (Intercept))",1.14428,0.440972636932213,2.8779,0.004,0.418949452262885,1.86962033475149
"psi([Rmeg:Mmus] (Intercept))",0.75105,0.374676664744946,2.22313,0.02621,0.134760398892575,1.36733694077218
"psi([Rmeg] (Intercept))",-0.42127,0.350708952102526,-1.3322,0.18279,-0.998137850980501,0.155591932759879
"psi([Rrav:Mcal] (Intercept))",0.5553,0.446581260343419,1.37905,0.16788,-0.179260091633064,1.2898615199758
"psi([Rrav:Mmus] (Intercept))",1.14314,0.350403122952592,3.61813,3e-04,0.566779470909914,1.7195031662773
"psi([Rrav:Rmeg] (Intercept))",-1.09335,0.347844003750571,-3.48599,0.00049,-1.66549848222733,-0.521193539862433
"psi([Rrav] (Intercept))",-0.47065,0.331240125121409,-1.57583,0.11506,-1.01549460361307,0.0741884387825502
