"","Estimate","SE","Z","p_value","Lower_CI","Upper_CI"
"p([Mcal] (Intercept))",-1.78367,0.223710307241081,-10.53391,0,-2.14800032290915,-1.41980356447945
"p([Mcal] Effort)",-0.18461,0.158628239217344,-1.54324,0.12277,-0.442271708466113,0.0731124674724915
"p([Mcal] Year1)",-1.98049,0.523792712457987,-4.57442,0,-2.82556359214396,-1.13503096991978
"p([Mmus] (Intercept))",-0.46195,0.118378572489166,-5.21783,0,-0.654791881042435,-0.268992954121469
"p([Mmus] Effort)",-0.613,0.153859327234608,-5.40061,0,-0.857516801701039,-0.368657256565543
"p([Mmus] Year1)",0.30159,0.288435970834777,1.39492,0.16304,-0.170344968878332,0.77343558717166
"p([Rmeg] (Intercept))",-0.58886,0.230197519210397,-3.44479,0.00057,-0.959110197021335,-0.218777565473971
"p([Rmeg] Effort)",0.02352,0.178656652109153,0.17655,0.85986,-0.263743182632041,0.310757189914879
"p([Rmeg] Year1)",-0.84887,0.430600628184528,-2.5251,0.01157,-1.55305952584304,-0.145168544330334
"p([Rrav] (Intercept))",-0.02151,0.166200643569282,-0.17394,0.86191,-0.289944511496386,0.246928602062513
"p([Rrav] Effort)",-0.34798,0.353507826001174,-1.33014,0.18347,-0.91328618699446,0.217234076824274
"p([Rrav] Year1)",-0.64791,0.58973264757103,-1.48413,0.13777,-1.59068180009969,0.29504292277804
"psi([Mcal] (Intercept))",-1.07791,4.19327905375173,-0.34087,0.7332,-6.74077617150888,4.58408026380429
"psi([Mcal] Above_MHW)",-1.3176,2.16928955642678,-0.7699,0.44136,-4.50422917308558,1.87171430723585
"psi([Mcal] Area)",3.44794,5.44342616529972,0.56489,0.57215,-4.00630519390224,10.9144370858278
"psi([Mcal] Area:Connectivity)",1.68892,6.32116069874399,0.27474,0.78352,-6.29453362137475,9.68308320386966
"psi([Mcal] Connectivity)",-1.18871,2.61819993216337,-0.52712,0.59811,-4.96551501475033,2.58656013383477
