Location,Rrav,Rmeg,Mmus,Mcal,Rrav_prop,Rmeg_prop,Mmus_prop,Mcal_prop,Type,Subregion,Longitude,Latitude,Area,Dist_urban,Elev_min,Elev_max,Elev_range,MHHW,Above_MHHW,MHW,Above_MHW,Mcal_conn,Mmus_conn,Rrav_conn,Rmeg_conn,Edge,Frag,Effort,Year
Almonte,0,1,0,0,0,0.45,0,0,Tidal,Central Bay,-122.5231,37.8881,14.3755,5471.4734,0.4689,2.3712,1.9023,1.801,0.1106,1.618,0.5911,0.2989,0.1798,0.0621,0.0301,25864,244,11,2021
Alto,0,1,0,1,0,0.43,0,0.14,Tidal,Central Bay,-122.5263,37.8938,2.9526,6584.4098,0.933,2.384,1.451,1.801,0.1214,1.618,0.7572,0.1713,0.1046,0.0557,0.0332,6728,72,7,2021
Alviso Triangle,1,1,1,1,0.44,0.19,0.19,0.19,Tidal,South Bay,-121.9833,37.4591,53.8389,19503.7847,0.812,3.4718,2.6597,2.137,0.9211,1.947,0.9731,0.3953,0.3906,0.227,0.2588,50604,326,16,2021
American Canyon,1,0,0,0,0.67,0,0.07,0,Tidal,North Bay,-122.2727,38.1596,94.8749,9597.5505,0.304,4.4072,4.1032,1.865,0.1302,1.693,0.4204,0.5209,0.47,0.3673,0.3664,156810,1212,15,2021
Arrowhead,0,0,1,0,0,0,0.57,0,Tidal,Central Bay,-122.2138,37.7442,15.5281,1116.9266,0.6022,2.2833,1.681,1.987,0.0014,1.794,0.0169,0.2387,0.1648,0.0565,0.0373,60790,473,7,2021
Bayfront Park,1,1,1,0,0.28,0.17,0.56,0,Tidal,Central Bay,-122.5258,37.8985,3.9999,6694.8987,0.2404,2.9817,2.7413,1.813,0.1488,1.629,0.4696,0.085,0.0666,0.0504,0.0325,16482,159,18,2021
Bay Point,0,1,0,0,0,0.4,0,0,Tidal,Suisun,-121.9708,38.0451,77.7864,5106.5404,NA,NA,NA,1.833,NA,1.678,NA,0.137,0.1255,0.119,0.1116,120968,533,10,2021
Belmont Slough,0,0,0,0,0,0,0,0,Tidal,South Bay,-122.2562,37.5396,14.7222,5098.072,0.4812,3.3372,2.8559,2.14,0.0898,1.947,0.4938,0.2162,0.1501,0.1351,0.1832,52054,507,20,2022
Benicia Industrial,1,1,1,1,0.08,0.23,0.54,0.08,Non,Suisun,-122.1137,38.0779,17.0036,3566.2473,0,4.513,4.513,1.818,0.31,1.657,0.4106,0.4179,0.4144,0.235,0.1573,10526,60,13,2021
Bothin Marsh,0,0,0,0,0,0,0,0,Tidal,Central Bay,-122.5224,37.8835,13.6049,5471.9159,0.2806,3.0334,2.7529,1.801,0.0662,1.618,0.1943,0.2636,0.1683,0.0661,0.0322,46846,346,15,2022
Bothin South,0,1,0,1,0,0.1,0,0.2,Tidal,Central Bay,-122.5224,37.8835,13.6049,5471.9159,0.2806,3.0334,2.7529,1.801,0.0662,1.618,0.1943,0.2636,0.1683,0.0661,0.0322,46846,346,10,2021
Browns Island,0,0,0,0,0,0,0,0,Tidal,Suisun,-121.8641,38.0389,257.8032,14049.5904,0,3.025,3.025,1.833,NA,1.678,NA,0.0439,0.0289,0.0543,0.2582,NA,NA,10,2022
Burdell Unit,0,1,1,1,0,0.05,0.1,0.05,Non,North Bay,-122.5529,38.1462,77.1715,4636.1744,0.42,2.3333,1.9133,1.933,0.001,1.792,0.0021,0.7795,0.7319,0.4301,0.3498,5220,7,20,2022
Byxbee Harbor,1,0,0,0,0.44,0,0,0,Tidal,South Bay,-122.1052,37.4536,13.9651,10909.2443,0.8877,3.5723,2.6845,2.14,0.6361,1.947,0.9106,0.3545,0.4173,0.4841,0.3583,27592,162,9,2021
China Camp,0,1,1,0,0,0.13,0.06,0,Tidal,North Bay,-122.4691,38.0036,0.9633,6474.5169,1.2096,3.3825,2.1728,1.813,0.4227,1.629,0.9021,0.1631,0.0955,0.0793,0.0888,1506,30,16,2022
Corte Madera Triangle,0,1,1,0,0,0.87,0,0,Tidal,Central Bay,-122.4961,37.9221,5.2568,3043.1394,1.1263,3.1686,2.0423,1.813,0.1523,1.629,0.7471,0.3199,0.1995,0.0917,0.0516,9932,81,15,2021
Creekside,0,1,1,0,0,0.1,0.8,0,Muted,Central Bay,-122.5395,37.9488,8.1735,5483.9731,0.8794,2.9003,2.0209,1.813,0.1056,1.629,0.6306,0.0929,0.0566,0.0218,0.015,8600,13,10,2021
Cullinan Ranch,1,0,1,0,0.6,0,0.4,0,Both,North Bay,-122.3086,38.1253,41.983,7534.8547,-1,2.9335,3.9335,1.865,0.0266,1.693,0.0327,0.4322,0.5057,0.6054,0.4482,36150,112,20,2022
Dixon Landing,0,1,1,0,0,0.38,0.63,0,Tidal,South Bay,-121.9309,37.4567,7.8548,24034.3076,0.2184,3.9659,3.7475,2.137,0.7094,1.947,0.7483,0.4191,0.2852,0.1533,0.1282,11868,129,16,2022
Dotson North,0,1,1,0,0,0.17,0.83,0,Tidal,North Bay,-122.3639,37.9828,3.9209,3340.6845,0.938,2.8936,1.9556,1.883,0.4595,1.702,0.763,0.3321,0.2068,0.1059,0.0856,7988,81,6,2021
Dotson South,0,1,1,0,0,0.13,0.5,0,Tidal,North Bay,-122.3639,37.9828,3.9209,3340.6845,0.938,2.8936,1.9556,1.883,0.4595,1.702,0.763,0.3321,0.2068,0.1059,0.0856,7988,81,8,2021
Enterprise,0,0,0,0,0,0,0,0,Non,South Bay,-122.1308,37.6282,6.3133,3547.2409,1.5348,3.9329,2.3981,2.137,0.2706,1.947,0.5176,0.192,0.2457,0.2889,0.38,6342,17,10,2021
Flood Control Basin,0,1,0,0,0,0.21,0,0,Muted,South Bay,-122.1016,37.4428,159.9504,11360.8124,-1,2.9374,3.9374,2.14,0.001,1.947,0.0023,0.281,0.2612,0.2782,0.2643,44652,198,19,2021
Freeman Island,1,0,1,1,0.25,0,0.05,0.05,Tidal,Suisun ,-121.9854,38.0787,9.5136,4953.6278,0,2.754,2.754,1.833,0.1508,1.678,0.561,0.1272,0.197,0.2854,0.3057,83978,490,20,2022
Giant Marsh,0,1,1,1,0,0.82,0.29,0,Tidal,North Bay,-122.3593,37.9881,22.8623,2336.6388,0.8324,3.1261,2.2937,1.883,0.7277,1.702,0.9707,0.2642,0.1507,0.0817,0.0701,44890,280,17,2021
Goodyear,1,1,1,1,0.62,0.15,0.85,0.38,Tidal,Suisun,-122.0961,38.0944,29.1627,3911.9106,0,3.371,3.371,2,0.1148,1.85,0.4952,0.5793,0.5041,0.2975,0.22,71904,459,13,2021
Guadalcanal,1,0,1,0,0.7,0,0.15,0,Tidal,North Bay,-122.2924,38.1192,13.8545,6322.2459,0.4851,2.7262,2.2411,1.865,0.3484,1.693,0.463,0.5313,0.4977,0.405,0.381,29548,221,20,2022
HARD Marsh,1,0,0,0,0.4,0,0,0,Muted,South Bay,-122.1347,37.6263,26.407,3271.24,1.2046,2.9045,1.6999,2.137,0.01,1.947,0.0221,0.2973,0.3558,0.3849,0.4144,7578,22,10,2021
Haystack,1,1,1,1,0.25,0.15,0.9,0.05,Tidal,North Bay,-122.6116,38.2264,3.7617,15276.7912,1.1941,3.1599,1.9658,1.933,0.8163,1.792,0.938,0.2725,0.1437,0.083,0.0769,4176,8,20,2022
Hayward Pasture,1,0,1,0,0.2,0,0.4,0,Muted,South Bay,-122.1428,37.6258,22.9453,3201.5461,0.4591,2.9886,2.5295,2.137,0.0372,1.947,0.2344,0.5632,0.6649,0.5073,0.4458,66210,322,10,2021
Head Albrae,1,1,0,0,0.1,0.1,0,0,Muted,South Bay,-121.9916,37.4875,40.3999,17495.9072,0.65,3.1463,2.4963,2.137,0.0128,1.947,0.0226,0.0658,0.1282,0.1996,0.2239,17276,23,20,2022
Heerdt,0,1,1,0,0,0.44,0.89,0,Tidal,Central Bay,-122.5089,37.9395,29.81,2668.232,0.4437,3.178,2.7342,1.813,0.0708,1.629,0.7292,0.2984,0.1852,0.0896,0.0515,66322,426,9,2021
Hercules,0,0,1,0,0,0,0.24,0,Tidal,North Bay,-122.2945,38.0147,6.1111,5873.1545,1.8343,3.0134,1.1792,1.883,0.996,1.702,1,0.3641,0.1981,0.0614,0.0294,2616,20,17,2022
Hill Slough 8,1,1,1,0,0.1,0.15,0.35,0,Tidal,Suisun,-121.9932,38.2283,246.0186,11834.6516,0,3.676,3.676,2,0.1844,1.85,0.9024,0.2426,0.1927,0.1395,0.1044,169290,1282,20,2021
Ideal Marsh,1,0,0,0,0.15,0,0,0,Tidal,South Bay,-122.1137,37.5383,45.5386,5897.2749,1.139,3.4997,2.3607,2.137,0.1778,1.947,0.9496,0.4499,0.4455,0.4107,0.3485,57300,260,20,2022
Inner Bair,1,1,1,0,0.73,0.09,0.45,0,Tidal,South Bay,-122.234,37.5026,82.009,1422.5401,-1,3.3341,4.3341,2.14,0.1595,1.947,0.181,0.2652,0.2472,0.2575,0.2449,248776,2034,11,2021
Joice Island,1,0,1,1,0.75,0,0.17,0.08,Tidal,Suisun,-122.0168,38.1942,464.1651,7405.0767,0,5.76,5.76,2,0.2093,1.85,0.9321,0.3464,0.3693,0.3848,0.4226,329852,2694,12,2021
Belden's Landing,1,0,1,0,0.05,0,0.15,0,Tidal,Suisun,-122.0168,38.1942,464.1651,7405.0767,0,5.76,5.76,2,0.2093,1.85,0.9321,0.3464,0.3693,0.3848,0.4226,329852,2694,20,2022
Mallard Slough,1,1,1,1,0.43,0.29,0.43,0.14,Tidal,South Bay,-121.9664,37.4518,27.6801,21462.5987,-0.7902,4.0068,4.7971,2.137,0.8796,1.947,0.9261,0.2817,0.315,0.2524,0.2181,53416,616,7,2021
Mariner's Point,0,0,1,0,0,0,0.2,0,Tidal,South Bay,-122.2882,37.5723,18.3306,9610.8638,0.5553,3.8378,3.2825,2.14,0.0151,1.947,0.0802,0.2594,0.1501,0.0788,0.0562,39790,176,20,2022
Marta,0,1,1,0,0,0.8,1,0,Tidal,Central Bay,-122.5031,37.9258,5.3615,3076.4663,0.5019,2.3906,1.8887,1.813,0.0636,1.629,0.1338,0.4969,0.288,0.1075,0.0514,19368,139,5,2021
Martinez RS,1,0,1,0,0.25,0,0.31,0,Tidal,Suisun,-122.1414,38.0222,18.116,1687.8809,NA,NA,NA,1.809,NA,1.651,NA,0.0762,0.058,0.0336,0.0365,35482,249,16,2021
McLaughlin Shoreline,0,0,1,0,0,0,1,0,Tidal,Central Bay,-122.297,37.8357,4.6172,3158.4731,1.437,2.5124,1.0754,1.9,0.0134,1.712,0.1515,0.3882,0.2603,0.0928,0.0443,5844,48,5,2021
McNabney,1,0,1,0,0.45,0,0.55,0,Non,Suisun,-122.0999,38.0225,55.5137,1753.219,NA,NA,NA,1.809,NA,1.651,NA,0.1498,0.1202,0.1916,0.1441,11772,48,11,2021
MLK,0,0,1,0,0,0,0.28,0,Tidal,Central Bay,-122.2077,37.7393,14.0548,583.4533,0.6597,3.0315,2.3718,1.987,0.0534,1.794,0.1153,0.1189,0.0883,0.0509,0.0344,21392,77,18,2021
Mountain View Slough,1,1,1,0,0.4,0.2,0.6,0,Tidal,South Bay,-122.0835,37.4441,33.8453,12328.9517,0.7449,4.0606,3.3157,2.14,0.7905,1.947,0.9187,0.2785,0.3161,0.4029,0.3287,61202,562,10,2021
Mundy,1,0,1,0,0.76,0,0.12,0,Tidal,South Bay,-122.1062,37.46,40.4687,10040.4367,0.6734,3.4405,2.7671,2.14,0.8114,1.947,0.94,0.7025,0.6427,0.5129,0.3711,56710,485,17,2021
Munster Property,0,1,0,0,0,0.3,0,0,Non,South Bay,-122.0873,37.5854,38.1992,4806.8509,0.4303,3.7085,3.2783,2.137,0.0128,1.947,0.0195,0.2521,0.1883,0.2167,0.241,9222,3,20,2022
Muzzi North,0,1,1,0,0,1,0.73,0,Tidal,Central Bay,-122.5064,37.9332,16.8795,2855.6852,0.843,2.8408,1.9978,1.813,0.0837,1.629,0.6808,0.6148,0.3512,0.1045,0.0519,24664,95,11,2021
Muzzi South,0,0,1,1,0,0,0.47,0.16,Tidal,Central Bay,-122.5069,37.9278,32.6583,3014.7316,0.5202,2.6497,2.1295,1.813,0.0231,1.629,0.4227,0.377,0.2551,0.1004,0.0489,53288,140,19,2021
Newark Mouse Pasture,1,0,0,0,0.09,0,0,0,Muted,South Bay,-121.9356,37.4638,10.4049,23303.7374,0.4147,3.8808,3.4661,2.137,0.0448,1.947,0.0499,0.3341,0.266,0.2288,0.167,2126,16,11,2021
New Chicago,0,0,0,0,0,0,0,0,Muted,South Bay,-121.9662,37.438,79.5552,23274.6417,-0.2196,4.2919,4.5115,2.14,0.0086,1.947,0.0112,0.362,0.3013,0.1295,0.1346,2656,30,7,2021
Novato Creek,1,1,1,0,0.35,0.25,0.55,0,Tidal,North Bay,-122.5524,38.0967,22.8002,4345.2966,1.0798,4.7314,3.6516,1.933,0.1002,1.792,0.1116,0.3039,0.3188,0.202,0.1417,7030,50,20,2022
Oakland Airport,0,0,1,0,0,0,0.3,0,Non,Central Bay,-122.2036,37.7156,11.7067,1644.7061,-0.4482,1.0505,1.4987,1.987,0,1.794,0,0.2221,0.1579,0.0633,0.0395,3298,3,20,2022
Piper Park,0,1,0,1,0,0.15,0,0.23,Tidal,Central Bay,-122.5298,37.9417,7.594,4608.6079,0.659,2.5743,1.9153,1.813,0.1044,1.629,0.7105,0.0835,0.0675,0.0374,0.0378,27618,208,13,2021
Plummer Slough Bridge,0,0,0,0,0,0,0,0,Tidal,South Bay,-122.0533,37.5134,10.5344,11954.1565,1.314,3.0837,1.7697,2.137,0.7292,1.947,0.9355,0.1219,0.0577,0.1741,0.2642,9716,85,20,2022
Whittell,0,1,1,1,0,0.22,0.17,0.06,Tidal,South Bay,-122.0533,37.5134,10.5344,11954.1565,1.314,3.0837,1.7697,2.137,0.7292,1.947,0.9355,0.1219,0.0577,0.1741,0.2642,9716,85,18,2021
Point Pinole,1,1,0,0,0.05,0.32,0,0,Tidal,North Bay,-122.356,38.007,16.6881,798.04,1.3567,3.2092,1.8525,1.883,0.1542,1.702,0.9754,0.1257,0.0935,0.0564,0.0386,20482,81,19,2022
Professional Circle,1,1,1,0,0.05,0.25,0.85,0,Tidal,Central Bay,-122.4944,37.957,41.803,1838.9644,-0.7493,3.8648,4.6141,1.813,0.0148,1.629,0.0179,0.0553,0.0584,0.0447,0.0449,6912,104,20,2022
Radio Point,1,0,0,0,1,0,0,0,Tidal,South Bay,-122.2347,37.5501,45.244,4503.8645,0.8672,3.8924,3.0253,2.14,0.0255,1.947,0.6978,0.677,0.6071,0.3646,0.2884,113704,567,8,2021
Ravenswood CA,1,0,1,0,0.64,0,0.27,0,Tidal,South Bay,-122.1497,37.4917,10.9302,4939.0179,0.6256,3.2262,2.6006,2.14,0.2143,1.947,0.8722,0.6845,0.6657,0.5821,0.4564,88280,531,11,2021
Ravenswood JH,0,0,0,0,0,0,0,0,Tidal,South Bay,-122.1497,37.4917,10.9302,4939.0179,0.6256,3.2262,2.6006,2.14,0.2143,1.947,0.8722,0.6845,0.6657,0.5821,0.4564,88280,531,10,2022
Renzel Wetlands,0,1,1,0,0,0.25,0.1,0.05,Non,South Bay,-122.1129,37.4459,45.1101,10535.0442,-0.4086,2.9932,3.4017,2.14,0.0007,1.947,0.0018,0.0772,0.0669,0.1724,0.2196,15338,110,20,2021
Ringstrom,1,0,1,0,0.43,0,0.14,0,Tidal,North Bay,-122.4138,38.2227,36.5908,7009.1628,-0.5513,3.3815,3.9328,1.958,0.1626,1.778,0.6776,0.5379,0.4209,0.26,0.1748,65568,136,14,2021
Rush Creek,0,1,1,1,0,0.2,0.1,0.1,Tidal,North Bay,-122.5596,38.1227,7.2264,4486.5491,0.831,3.4771,2.6461,1.933,0.0277,1.792,0.0401,0.0287,0.0388,0.0868,0.1666,6298,40,10,2022
San Bruno Canal,0,0,1,0,0,0,0.31,0,Tidal,Central Bay,-122.3947,37.643,1.0272,16219.3321,1.5348,4.918,3.3832,1.902,0.9288,1.711,0.9881,0.2912,0.2019,0.0569,0.0284,1198,43,16,2022
San Mateo Bridge,1,1,1,1,0.05,0.05,0.1,0.05,Tidal,South Bay,-122.1498,37.6171,3.513,2225.5166,1.6575,2.8726,1.2151,2.137,0.1023,1.947,0.8287,0.5732,0.6684,0.7055,0.5407,7210,40,20,2022
San Pablo Creek,1,0,0,1,0.71,0,0,0.29,Tidal,North Bay,-122.3764,37.9737,43.953,4260.6378,0.7083,2.9178,2.2095,1.883,0.0687,1.702,0.6974,0.4115,0.2883,0.1756,0.1298,79816,287,14,2021
Snag Island,1,0,1,0,0.2,0,0.15,0,Tidal,Suisun,-121.9763,38.0728,9.7747,5666.7855,0,2.616,2.616,1.833,0.7919,1.678,0.8929,0.1028,0.1383,0.1558,0.2492,15162,180,20,2022
Steinberger Slough,1,0,0,0,0.33,0,0,0,Tidal,South Bay,-122.2354,37.535,22.8822,3495.656,0.8537,3.4173,2.5636,2.14,0.0715,1.947,0.6605,0.3436,0.3919,0.3842,0.3074,58864,521,12,2021
Strip Marsh East,1,0,1,0,0.4,0,0.5,0,Tidal,North Bay,-122.324,38.1209,576.3152,5236.614,1.442,3.6797,2.2377,1.958,0.0544,1.778,0.193,0.6268,0.4698,0.3256,0.3169,238234,1128,20,2022
Tiscornia Marsh,0,1,1,1,0,0.44,1,0.22,Tidal,Central Bay,-122.496,37.9686,2.9138,2990.4593,0.982,2.9561,1.9741,1.813,NA,1.629,0.9494,0.2305,0.1029,0.0342,0.0227,4518,41,9,2021
West Family,1,1,1,0,1,0.29,0.65,0,Non,Suisun,-122.104,38.1317,69.8307,824.6452,-0.709,3.245,3.954,2,0.0035,1.85,0.0135,0.3333,0.3572,0.3212,0.3429,20608,43,17,2021
West Sonoma Creek,1,0,1,1,0.53,0,0.12,0.06,Tidal,North Bay,-122.3772,38.1607,205.6196,40.8329,-0.4661,4.082,4.5481,1.958,0.0393,1.778,0.7205,0.6979,0.6337,0.5409,0.5064,158772,672,17,2021
White Slough,1,0,1,0,0.55,0,0.15,0,Tidal,North Bay,-122.2637,38.1328,5.9144,6895.1583,0.7966,3.4607,2.6641,1.865,0.046,1.693,0.4451,0.5738,0.4484,0.2282,0.2197,18528,185,20,2022
Winter Island,0,0,0,0,0,0,0,0,Tidal,Suisun,-121.8489,38.0419,169.8094,15901.7576,0,3.592,3.592,1.833,NA,1.678,NA,0.0768,0.0766,0.1873,0.2927,NA,NA,5,2022
